#Codigo;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
354105;1.03;-0.28;-0.15;0.34;-0.08;-0.32;-0.01;0.80;-0.64;0.34;-0.22;0.95;0.30;-0.10;0.01;0.68;-0.41;2.36;-0.10;0.68;-0.04;-0.17;0.56;-0.21;0.58;-0.23;1.90;-0.35;-0.31
355200;-1.21;-0.28;-0.15;0.26;-0.08;-0.32;-0.01;0.13;-0.64;0.55;-0.22;0.58;0.17;-0.10;2.78;-0.22;-0.41;-0.44;-0.10;1.68;-0.04;-0.17;-0.26;-0.21;-0.44;-0.53;0.06;0.63;-0.31
171280;0.53;-0.28;-0.15;0.80;-0.08;-0.32;-0.01;1.33;-0.64;-0.14;-0.22;0.07;-0.64;-0.10;-0.51;1.78;-0.35;1.57;-0.10;0.62;-0.04;-0.17;0.39;-0.21;-0.44;-0.48;-0.36;-0.81;-0.31
290035;-0.33;-0.28;-0.15;-0.55;-0.08;-0.22;-0.01;-0.64;-0.64;-1.16;-0.22;-0.27;-0.05;-0.10;-0.69;-0.22;-0.18;-0.44;-0.10;-0.56;-0.04;-0.17;-0.26;-0.21;-0.04;-0.46;-0.63;-0.81;-0.31
290840;-1.21;-0.25;-0.15;-0.77;-0.08;-0.32;-0.01;-0.73;-0.64;-1.14;-0.22;-0.76;-0.32;-0.10;-0.52;-0.22;-0.38;-0.44;-0.10;-0.43;-0.04;-0.17;-0.20;-0.21;-0.44;-0.53;-0.15;-0.45;-0.31
110070;-0.20;-0.28;0.72;-0.70;-0.08;-0.32;-0.01;-0.65;-0.27;-0.37;-0.22;0.03;-0.57;-0.10;-0.55;-0.22;-0.23;-0.36;-0.10;0.17;-0.04;-0.17;-0.26;-0.21;-0.44;1.17;-0.21;0.51;-0.31
431380;-0.27;-0.28;-0.15;-0.36;-0.08;-0.32;-0.01;-0.30;-0.44;-0.29;-0.22;-0.47;-0.39;-0.10;-0.06;0.88;0.20;-0.08;-0.10;1.97;-0.04;0.25;-0.04;-0.21;-0.44;0.76;0.84;0.07;-0.31
430780;-0.47;-0.28;-0.15;-0.50;-0.08;0.00;-0.01;-0.32;0.59;-0.52;-0.13;-0.88;0.31;-0.10;1.91;-0.15;-0.41;2.60;-0.10;0.27;-0.04;-0.17;0.77;5.10;1.08;-0.52;0.32;-0.63;1.28
411375;-1.21;0.67;-0.15;0.14;-0.08;-0.32;-0.01;1.09;-0.64;-0.11;1.62;-0.09;-0.45;-0.10;-0.32;-0.22;0.56;-0.23;-0.10;-0.21;-0.04;-0.17;0.01;-0.21;-0.44;0.17;0.17;0.35;-0.31
315110;0.41;0.58;-0.15;-0.68;-0.08;-0.14;-0.01;-0.51;0.37;0.38;-0.22;-0.71;0.54;-0.10;-0.29;-0.22;1.17;-0.09;-0.10;-0.47;-0.04;-0.17;-0.26;0.25;-0.44;-0.08;-0.52;0.17;-0.31
353670;-0.14;4.52;2.13;-0.58;-0.08;0.03;-0.01;0.21;-0.64;-0.01;-0.22;0.14;-0.21;-0.10;0.15;3.61;-0.41;0.10;-0.10;-0.50;-0.04;0.01;0.51;-0.21;1.84;-0.23;0.19;-0.81;-0.31
431270;-0.00;-0.28;-0.15;-0.16;-0.08;-0.16;-0.01;-0.48;1.16;-0.63;6.47;-0.40;-0.68;-0.10;-1.00;-0.11;-0.33;-0.35;-0.10;0.40;-0.04;0.72;-0.23;-0.21;-0.44;-0.09;0.22;2.70;-0.31
410400;-1.21;1.56;-0.15;-0.56;-0.08;1.85;-0.01;-0.09;-0.64;-0.83;-0.22;-0.58;-0.66;-0.10;1.46;-0.22;-0.41;0.75;-0.10;-0.46;-0.04;0.07;0.06;-0.21;-0.44;-0.53;-0.27;0.77;1.02
